[2026-06-25T15:38:13.172Z] GET http://localhost:5174/src/lib/product-assets-client.ts?t=1782401892657 → 200 (1ms, 4762B)
[2026-06-25T15:38:13.172Z] GET http://localhost:5174/src/pages/products-list.tsx?t=1782401892678 → 200 (44ms, 22220B)
[2026-06-25T15:38:13.172Z] GET http://localhost:5174/src/pages/create-product.tsx?t=1782401892678 → 200 (19ms, 163880B)
[2026-06-25T15:38:13.172Z] GET http://localhost:5174/src/pages/product-detail.tsx?t=1782401892675 → 200 (7ms, 64896B)
[2026-06-25T15:38:13.180Z] GET http://localhost:5174/src/pages/product-detail.tsx?t=1782401892660 → 200 (10ms, 64896B)
[2026-06-25T15:38:13.191Z] GET http://localhost:5174/src/pages/products-list.tsx?t=1782401892660 → 200 (25ms, 22220B)
[2026-06-25T15:38:13.191Z] GET http://localhost:5174/src/pages/create-product.tsx?t=1782401892660 → 200 (6ms, 163880B)
[2026-06-25T15:38:13.231Z] GET http://localhost:5174/src/index.css?t=1782401892657 → 200 (40ms, 97762B)
[2026-06-25T15:38:13.243Z] GET http://localhost:5174/src/pages/create-product.tsx?t=1782401892657 → 200 (33ms, 163880B)
[2026-06-25T15:38:13.243Z] GET http://localhost:5174/src/pages/product-detail.tsx?t=1782401892657 → 200 (38ms, 64896B)
[2026-06-25T15:38:13.281Z] GET http://localhost:5174/src/index.css?t=1782401892660 → 200 (7ms, 97762B)
[2026-06-25T15:38:13.289Z] GET http://localhost:5174/src/pages/create-product.tsx?t=1782401892663 → 200 (7ms, 163880B)
[2026-06-25T15:38:13.296Z] GET http://localhost:5174/src/index.css?t=1782401892663 → 200 (8ms, 97762B)
[2026-06-25T15:38:13.306Z] GET http://localhost:5174/src/pages/order-detail.tsx?t=1782401892666 → 200 (2ms, 36156B)
[2026-06-25T15:38:13.306Z] GET http://localhost:5174/src/index.css?t=1782401892666 → 200 (2ms, 97762B)
[2026-06-25T15:38:13.309Z] GET http://localhost:5174/src/pages/order-detail.tsx?t=1782401892654 → 200 (?ms, 36156B)
[2026-06-25T15:38:13.310Z] GET http://localhost:5174/src/pages/orders-list.tsx?t=1782401892669 → 200 (19ms, 18672B)
[2026-06-25T15:38:13.312Z] GET http://localhost:5174/src/index.css?t=1782401892669 → 200 (?ms, 97762B)
[2026-06-25T15:38:13.323Z] GET http://localhost:8787/api/admin/auth/get-session → pending (?ms, ?B)
[2026-06-25T15:38:13.323Z] GET http://localhost:8787/api/admin/auth/get-session → pending (?ms, ?B)
[2026-06-25T15:38:13.330Z] GET http://localhost:5174/src/pages/orders-list.tsx?t=1782401892654 → 200 (6ms, 18672B)
[2026-06-25T15:38:13.336Z] GET http://localhost:5174/src/pages/placeholder-index.tsx?t=1782401892672 → 200 (?ms, 5714B)
[2026-06-25T15:38:13.336Z] GET http://localhost:5174/src/index.css?t=1782401892672 → 200 (?ms, 97762B)
[2026-06-25T15:38:13.337Z] GET http://localhost:5174/src/index.css?t=1782401892675 → 200 (3ms, 97762B)
[2026-06-25T15:38:13.340Z] GET http://localhost:5174/src/index.css?t=1782401892678 → 200 (5ms, 97762B)
[2026-06-25T15:38:13.346Z] GET http://localhost:5174/src/pages/security.tsx?t=1782401892681 → 200 (1ms, 16512B)
[2026-06-25T15:38:13.346Z] GET http://localhost:5174/src/index.css?t=1782401892681 → 200 (1ms, 97762B)
[2026-06-25T15:38:13.347Z] GET http://localhost:5174/src/pages/team.tsx?t=1782401892684 → 200 (7ms, 36877B)
[2026-06-25T15:38:13.347Z] GET http://localhost:5174/src/index.css?t=1782401892684 → 200 (1ms, 97762B)
[2026-06-25T15:38:13.355Z] GET http://localhost:5174/src/index.css?t=1782401892686 → 200 (?ms, 97762B)
[2026-06-25T15:38:13.356Z] GET http://localhost:5174/src/App.tsx?t=1782401892660 → 200 (6ms, 24018B)
[2026-06-25T15:38:13.363Z] GET http://localhost:5174/src/components/layout/admin-shell.tsx?t=1782401892651 → 200 (2ms, 13463B)
[2026-06-25T15:38:13.363Z] GET http://localhost:5174/src/pages/customization-templates.tsx?t=1782401892688 → 200 (2ms, 3726B)
[2026-06-25T15:38:13.363Z] GET http://localhost:5174/src/App.tsx?t=1782401892654 → 200 (3ms, 24018B)
[2026-06-25T15:38:26.000Z] GET http://localhost:5174/src/pages/create-product.tsx?t=1782401906000 → 200 (99ms, 197783B)
[2026-06-25T15:38:26.000Z] GET http://localhost:5174/src/index.css?t=1782401906000 → 200 (94ms, 97762B)
[2026-06-25T15:38:26.100Z] GET http://localhost:5174/src/pages/product-detail.tsx?t=1782401906003 → 200 (37ms, 138030B)
[2026-06-25T15:38:26.100Z] GET http://localhost:5174/src/index.css?t=1782401906003 → 200 (5ms, 97762B)
[2026-06-25T15:38:28.940Z] GET http://localhost:5174/products/new → 200 (6ms, 628B)
[2026-06-25T15:38:28.949Z] GET http://localhost:5174/@vite/client → 200 (10ms, 211860B)
[2026-06-25T15:38:28.949Z] GET http://localhost:5174/src/main.tsx?t=1782401906003 → 200 (9ms, 1672B)
[2026-06-25T15:38:28.950Z] GET http://localhost:5174/@react-refresh → 200 (12ms, 111894B)
[2026-06-25T15:38:28.959Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=36112580 → 200 (3ms, 755B)
[2026-06-25T15:38:28.959Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=36112580 → 200 (18ms, 811114B)
[2026-06-25T15:38:28.959Z] GET http://localhost:5174/src/index.css?t=1782401906003 → 200 (14ms, 97762B)
[2026-06-25T15:38:28.959Z] GET http://localhost:5174/src/App.tsx?t=1782401906003 → 200 (14ms, 24018B)
